站点名,经度,纬度,海拔高度,时间,平均气温
﻿待补镇,103.43,26.2,2297,2020年01月01日00:00,8.9
﻿驾车乡,103.36,25.99,2628,2020年01月01日00:00,6.9
﻿鲁纳,103.61,26.25,2283,2020年01月01日00:00,9
﻿纸厂,103.46,26.94,2050,2020年01月01日00:00,11.2
﻿新街,103.54,26.39,2230,2020年01月01日00:00,6.4
﻿五星乡,103.26,26.54,2200,2020年01月01日00:00,9.6
﻿会泽老厂,103.17,26.59,2063.3,2020年01月01日00:00,10
﻿火红,103.65,26.82,2432.8,2020年01月01日00:00,8
﻿矿山,103.69,26.63,2334.5,2020年01月01日00:00,7.6
﻿上村,103.55,26.12,1671.1,2020年01月01日00:00,10.8
﻿古城,103.3,26.42,2110,2020年01月01日00:00,10.8
﻿草山,103.26,26.23,3628,2020年01月01日00:00,0.5
﻿老乐业,103.47,26.62,1878,2020年01月01日00:00,10.3
﻿狮子,103.64,26.17,1702,2020年01月01日00:00,11.4
﻿小百户,103.57,25.04,1902,2020年01月01日00:00,11.3
﻿活水,103.95,25.12,1979,2020年01月01日00:00,11.6
﻿三岔河,103.77,25.05,1840,2020年01月01日00:00,12.8
﻿芳华,103.68,25.17,1878,2020年01月01日00:00,10.4
﻿彩色沙林,103.72,24.9,1953,2020年01月01日00:00,11.7
﻿大莫古,103.52,24.91,1867,2020年01月01日00:00,11.5
﻿龙海,103.83,24.95,2136,2020年01月01日00:00,10.8
﻿马街,103.75,24.96,1840,2020年01月01日00:00,12.5
﻿召夸,103.69,24.86,2047,2020年01月01日00:00,11.1
﻿响水坝,103.82,25.18,1855,2020年01月01日00:00,11.2
﻿中枢,103.67,25.04,1841,2020年01月01日00:00,11.9
﻿黄泥河,104.71,25.27,1313,2020年01月01日00:00,13.2
﻿十八连山,104.57,25.14,1730,2020年01月01日00:00,11.7
﻿富村,104.46,25.36,1986,2020年01月01日00:00,11
﻿营上,104.31,25.48,1850,2020年01月01日00:00,12.2
﻿大河,104.3,25.55,1734,2020年01月01日00:00,10.7
﻿墨红,104.15,25.38,2033,2020年01月01日00:00,10.6
﻿中安,104.07,25.64,2089,2020年01月01日00:00,10.2
﻿后所,104.3,25.81,2090,2020年01月01日00:00,10.6
﻿富源老厂,104.53,25.23,1970,2020年01月01日00:00,10.4
﻿竹园,104.3,25.41,1790,2020年01月01日00:00,11.7
﻿古敢,104.8,25.22,1386,2020年01月01日00:00,13.6
﻿富源应急,104.68,25.68,1983,2020年01月01日00:00,11.5
﻿丕德,104.5,25.13,1454.1,2020年01月01日00:00,12.8
﻿箐口,104.61,25.32,1847,2020年01月01日00:00,12
﻿古木,104.58,25.38,1357.2,2020年01月01日00:00,13.4
﻿小坝,104.53,25.51,1577.1,2020年01月01日00:00,12.2
﻿洞上,104.16,25.73,2023.3,2020年01月01日00:00,10.3
﻿珠街,103.87,25.5,2000,2020年01月01日00:00,11.7
﻿沿江,103.85,25.47,1870,2020年01月01日00:00,11.8
﻿茨营,103.91,25.36,1900,2020年01月01日00:00,10.8
﻿越州,103.85,25.28,1829,2020年01月01日00:00,12.1
﻿金秀园,103.81,25.44,1870,2020年01月01日00:00,10.1
﻿东山,104.06,25.25,1950,2020年01月01日00:00,10.7
﻿潇湘,103.76,25.42,1970,2020年01月01日00:00,10.7
﻿王三屯,103.72,25.54,1860,2020年01月01日00:00,10.7
﻿薛旗,103.87,25.22,1876,2020年01月01日00:00,11.4
﻿旧县,103.39,25.36,1964,2020年01月01日00:00,10.6
﻿大庄,103.46,25.22,1904,2020年01月01日00:00,9.2
﻿马鸣,103.38,25.28,2021,2020年01月01日00:00,10.9
﻿纳章,103.58,25.27,1967,2020年01月01日00:00,9.5
﻿王家庄,103.5,25.48,1988,2020年01月01日00:00,10.1
﻿月望,103.63,25.34,2081.4,2020年01月01日00:00,9.8
﻿马过河,103.4,25.45,1920,2020年01月01日00:00,9.4
﻿富乐,104.39,25.36,1843,2020年01月01日00:00,12.2
﻿马街,104.24,25.15,1813,2020年01月01日00:00,11.9
﻿阿岗,104.11,25.08,1956,2020年01月01日00:00,12
﻿鲁布革,104.54,24.78,829,2020年01月01日00:00,15.2
﻿钟山,104.62,24.98,1592,2020年01月01日00:00,12.8
﻿九龙,104.3,24.93,1522,2020年01月01日00:00,12.4
﻿大水井,104.37,24.78,1572,2020年01月01日00:00,11.4
﻿旧屋基,104.53,24.86,1573,2020年01月01日00:00,12
﻿罗平板桥,104.47,24.97,1442,2020年01月01日00:00,13
﻿长底,104.5,25.03,1187,2020年01月01日00:00,12.9
﻿罗平老厂,104.36,25.19,1843,2020年01月01日00:00,11.3
﻿罗雄,104.31,24.88,1482,2020年01月01日00:00,13
﻿竹基,104.03,24.91,1840,2020年01月01日00:00,10.9
﻿雄壁,103.82,24.87,2111,2020年01月01日00:00,11
﻿葵山,103.8,24.77,1854,2020年01月01日00:00,11
﻿彩云,103.9,24.7,1857,2020年01月01日00:00,11.1
﻿五龙,104.28,24.62,960,2020年01月01日00:00,14.4
﻿龙庆,104.08,24.55,1662,2020年01月01日00:00,11
﻿丹凤,104,24.83,1844.2,2020年01月01日00:00,11.8
﻿菌子山,104.15,24.64,2400,2020年01月01日00:00,10.5
﻿大坡,103.66,25.68,2008.9,2020年01月01日00:00,10
﻿德泽,103.6,26,1713,2020年01月01日00:00,12.7
﻿白水,104.01,25.64,2046,2020年01月01日00:00,9.9
﻿菱角,103.67,25.88,2140,2020年01月01日00:00,10.2
﻿盘江,103.83,25.75,1948,2020年01月01日00:00,10.4
﻿炎方,104.06,25.91,2106.9,2020年01月01日00:00,10.2
﻿播乐,104.12,25.83,2064,2020年01月01日00:00,9.7
﻿龙华,103.83,25.58,1898.7,2020年01月01日00:00,11.7
﻿倘塘,104.22,26.49,1858,2020年01月01日00:00,10.3
﻿务德,103.72,26.27,1970,2020年01月01日00:00,9.9
﻿落水,103.99,26.16,2005,2020年01月01日00:00,9.3
﻿得禄,103.96,26.47,1853,2020年01月01日00:00,9.3
﻿龙潭,104.01,26.41,1870,2020年01月01日00:00,9.5
﻿龙场,104.26,26.31,1950,2020年01月01日00:00,10.7
﻿来宾,104.16,26.31,1985,2020年01月01日00:00,10.1
﻿东山,104.26,26.11,1715,2020年01月01日00:00,12.8
﻿海岱,104.35,26.07,1722,2020年01月01日00:00,11.5
﻿羊场,104.25,26.01,1970,2020年01月01日00:00,11
﻿板桥,104.07,26.09,2039,2020年01月01日00:00,11.1
﻿热水,103.77,26.08,1988,2020年01月01日00:00,10.5
﻿西泽,103.85,26.24,1812,2020年01月01日00:00,9.9
﻿双河,104.41,26.61,1606,2020年01月01日00:00,10
﻿普立,104.56,26.35,1933,2020年01月01日00:00,10.5
﻿阿都,104.49,26.53,1507,2020年01月01日00:00,10.8
﻿文兴,104.51,26.45,1715,2020年01月01日00:00,11
﻿乐丰,104.4,26.52,2014,2020年01月01日00:00,8.8
﻿格宜,104.39,26.32,1950,2020年01月01日00:00,9.8
﻿宝山,104.46,26.31,2001,2020年01月01日00:00,9.7
﻿杨柳,104.28,26.62,1640,2020年01月01日00:00,11.4
﻿田坝,104.45,26.17,1757,2020年01月01日00:00,11.8
﻿江浪,104.21,25.48,1935,2020年01月01日00:00,12.1
﻿法凹,104.41,25.86,2066.2,2020年01月01日00:00,10.4
﻿小冲,104.34,25.85,2096.1,2020年01月01日00:00,10.3
﻿糯木,104.24,25.38,1835,2020年01月01日00:00,11.4
﻿宽塘,104.41,25.44,2030.3,2020年01月01日00:00,10.8
﻿黑克,104.53,25.27,2119,2020年01月01日00:00,10.5
﻿铜厂,104.36,25.56,1889.9,2020年01月01日00:00,12.1
﻿胜境关,104.31,25.6,2056,2020年01月01日00:00,11.2
﻿厦格,104.14,25.58,2130,2020年01月01日00:00,10.6
﻿花石头,103.73,26.91,2485,2020年01月01日00:00,8.3
﻿云洞,103.2,26.25,2193,2020年01月01日00:00,7
﻿座舍,103.66,26.29,1665,2020年01月01日00:00,10.7
﻿交支,103.42,26.47,2249,2020年01月01日00:00,10.1
﻿拖克,103.78,26.39,2010,2020年01月01日00:00,8.1
﻿袜度,103.48,25.35,2007,2020年01月01日00:00,10
﻿小河,103.65,25.57,1909,2020年01月01日00:00,10.8
﻿扯度,103.49,25.55,2049,2020年01月01日00:00,9.4
﻿法土,104.09,25.45,2477,2020年01月01日00:00,7.9
﻿坝心乡,104.03,23.4,1890,2020年01月01日00:00,13.7
﻿新街乡,104,23.2,1760,2020年01月01日00:00,11.6
﻿平坝,104.09,23.25,1755,2020年01月01日00:00,12.4
﻿小街镇,104.03,23.27,1739,2020年01月01日00:00,12.8
﻿薄竹镇,103.95,23.48,1522,2020年01月01日00:00,14.5
﻿喜古乡,104.1,23.42,1516,2020年01月01日00:00,14.8
﻿红甸乡,103.98,23.65,1461,2020年01月01日00:00,14.6
﻿追栗街镇,104.4,23.32,1446,2020年01月01日00:00,13.6
﻿德厚,103.93,23.55,1504,2020年01月01日00:00,14.3
﻿秉烈乡,104.1,23.62,1441,2020年01月01日00:00,12.5
﻿柳井乡,104.31,23.21,1426,2020年01月01日00:00,15.4
﻿古木镇,104.27,23.27,1426,2020年01月01日00:00,15.5
﻿东山乡,104.28,23.42,1420,2020年01月01日00:00,14.8
﻿马塘镇,104.05,23.51,1350,2020年01月01日00:00,14.6
﻿盘龙体育城,104.25,23.35,1269,2020年01月01日00:00,16.3
﻿文新大道,104.24,23.38,1271,2020年01月01日00:00,16.7
﻿坝美,105.07,24.26,859,2020年01月01日00:00,15.1
﻿者兔,104.79,24.14,1432,2020年01月01日00:00,13
﻿珠琳正街,104.66,23.99,1411,2020年01月01日00:00,14.3
﻿五珠,104.69,23.8,1622,2020年01月01日00:00,12.7
﻿八宝,105.41,23.75,1582,2020年01月01日00:00,15.5
﻿黑支果,105.17,23.63,1544,2020年01月01日00:00,13.6
﻿南屏,105.2,23.76,1255,2020年01月01日00:00,15.9
﻿董堡,105.15,23.9,1269,2020年01月01日00:00,14
﻿旧莫,104.86,23.95,1212,2020年01月01日00:00,15.1
﻿那洒,104.8,23.75,1480,2020年01月01日00:00,13.6
﻿篆角,104.93,23.61,1224,2020年01月01日00:00,15.4
﻿曙光,105.07,23.71,1550,2020年01月01日00:00,12.9
﻿杨柳井,105.27,23.92,1261,2020年01月01日00:00,15.3
﻿底圩,104.88,24.28,1000,2020年01月01日00:00,14.7
﻿者太,104.63,24.27,1253,2020年01月01日00:00,15.1
﻿板蚌,105.47,23.92,490,2020年01月01日00:00,17.8
﻿堂上,104.8,24.41,830,2020年01月01日00:00,14.7
﻿华龙湖,104.22,23.4,1259,2020年01月01日00:00,16.3
﻿平远,103.78,23.75,1462,2020年01月01日00:00,14.2
﻿维摩,104.25,23.8,1510,2020年01月01日00:00,13.7
﻿者腊,104.48,23.65,1520,2020年01月01日00:00,14.1
﻿八嘎,104.5,23.45,1191,2020年01月01日00:00,15.3
﻿稼依,103.95,23.74,1446,2020年01月01日00:00,14.6
﻿干河,104.43,23.7,1449,2020年01月01日00:00,13.8
﻿阿猛,104.58,23.75,1502,2020年01月01日00:00,13.9
﻿盘龙,104.32,23.54,1527,2020年01月01日00:00,14
﻿阿舍,103.72,23.63,1520,2020年01月01日00:00,15.2
﻿蚌峨,104.64,23.6,1476,2020年01月01日00:00,14.6
﻿鸡街,104.81,23.53,970,2020年01月01日00:00,16.3
﻿董马,104.9,23.42,1112,2020年01月01日00:00,15.7
﻿法斗,104.78,23.38,1354,2020年01月01日00:00,13.2
﻿蚌谷,104.58,23.38,1378,2020年01月01日00:00,14.5
﻿柏林,104.73,23.24,1342,2020年01月01日00:00,13.7
﻿双龙营,104.2,24.2,1470,2020年01月01日00:00,14.4
﻿红旗水库,104,24.14,1491,2020年01月01日00:00,14.3
﻿腻脚,103.86,24.04,2084,2020年01月01日00:00,11.3
﻿舍得,103.85,24.25,2280,2020年01月01日00:00,9.7
﻿官寨,104.03,24.3,1240,2020年01月01日00:00,13.7
﻿平寨,104.37,24.06,1355,2020年01月01日00:00,13.2
﻿树皮,104.09,23.87,1661,2020年01月01日00:00,12
﻿温浏,104.42,24.29,1473,2020年01月01日00:00,14.3
﻿天星,104.29,23.95,1558,2020年01月01日00:00,14.3
﻿新店,103.73,24.03,1872,2020年01月01日00:00,12.1
﻿八道哨,104.08,24.1,1453,2020年01月01日00:00,15.2
﻿曰者,104.01,24.17,1462,2020年01月01日00:00,13.7
﻿坡脚,104.3,23.12,1370,2020年01月01日00:00,15.1
﻿都龙,104.52,22.91,1313,2020年01月01日00:00,14.6
﻿木厂,104.18,22.95,1370,2020年01月01日00:00,14
﻿八寨,104.06,23.02,1780,2020年01月01日00:00,12.3
﻿夹寒箐,104.41,22.9,1525,2020年01月01日00:00,13.6
﻿小坝子,104.31,22.81,1535,2020年01月01日00:00,12.1
﻿金厂,104.46,22.77,1577,2020年01月01日00:00,13.7
﻿南捞,104.51,23.01,1129,2020年01月01日00:00,15.7
﻿仁和,104.29,22.95,1613,2020年01月01日00:00,13
﻿大栗树,104.18,23.07,1575,2020年01月01日00:00,13.3
﻿篾厂,104.04,22.91,1445,2020年01月01日00:00,13.6
﻿大坪,104.59,23.11,1540,2020年01月01日00:00,13.4
﻿八布,104.89,23.23,506,2020年01月01日00:00,18.5
﻿杨万,104.97,23.29,868,2020年01月01日00:00,16.6
﻿铁厂,105.04,23.37,1462,2020年01月01日00:00,12.7
﻿城子上,104.68,23,799,2020年01月01日00:00,17.2
﻿天保,104.84,22.94,138,2020年01月01日00:00,20.4
﻿猛硐,104.71,22.88,1084,2020年01月01日00:00,15.8
﻿下金厂,104.8,23.18,1464,2020年01月01日00:00,12.2
﻿马街,105.06,23.46,1354,2020年01月01日00:00,14.6
﻿六河,104.9,23.32,866,2020年01月01日00:00,16.7
﻿董干,105.16,23.36,1647,2020年01月01日00:00,13.1
﻿剥隘,106.08,23.89,360,2020年01月01日00:00,19.8
﻿者桑,105.97,23.77,405.6,2020年01月01日00:00,16.7
﻿归朝,105.85,23.65,521,2020年01月01日00:00,18.3
﻿那能,105.9,23.91,451,2020年01月01日00:00,16.9
﻿花甲,105.61,23.86,1180.2,2020年01月01日00:00,15.1
﻿阿用,105.59,23.97,722,2020年01月01日00:00,16.4
﻿木央,105.41,23.45,1428,2020年01月01日00:00,13.6
﻿郎恒,105.58,23.37,759,2020年01月01日00:00,16.8
﻿田蓬,105.45,23.3,1594,2020年01月01日00:00,12.6
﻿板仑,105.7,23.56,704,2020年01月01日00:00,17.5
﻿谷拉,106.04,23.59,284,2020年01月01日00:00,18
﻿洞波,105.83,23.75,709,2020年01月01日00:00,16.1
﻿坝达,104.51,24.38,866,2020年01月01日00:00,14.4
﻿坝子,105.23,23.88,1182,2020年01月01日00:00,14.4
﻿木利矿山,105.37,23.99,784,2020年01月01日00:00,17
﻿三腊电站,105.51,23.75,921,2020年01月01日00:00,15.5
﻿子母嘎,104.72,23.76,1505,2020年01月01日00:00,13.5
﻿八宝中校,105.44,23.71,1140,2020年01月01日00:00,15.9
﻿珠琳,104.63,23.99,1411,2020年01月01日00:00,14.4
﻿八达,104.98,24.37,785,2020年01月01日00:00,14.9
﻿冲头,103.68,24.06,1922,2020年01月01日00:00,11.7
﻿那旦村,105.79,23.63,553,2020年01月01日00:00,16.9
﻿剑川龙凤,99.84,26.6,2271,2020年01月01日00:00,3.9
﻿剑川老君,99.53,26.59,2435,2020年01月01日00:00,3.9
﻿剑川羊岑,99.8,26.48,2350,2020年01月01日00:00,3.9
﻿剑川马登,99.6,26.45,2380,2020年01月01日00:00,4.6
﻿剑川甸南,99.94,26.43,2220,2020年01月01日00:00,5.4
﻿剑川象图,99.55,26.3,2500,2020年01月01日00:00,5.6
﻿剑川弥沙,99.66,26.34,2280,2020年01月01日00:00,4
﻿剑川沙溪,99.85,26.34,2200,2020年01月01日00:00,5.5
﻿辛屯镇,100.21,26.66,2204,2020年01月01日00:00,7
﻿北衙,100.2,26.15,1914,2020年01月01日00:00,10.6
﻿云鹤镇,100.17,26.56,2197,2020年01月01日00:00,7.5
﻿金墩乡,100.2,26.49,2203,2020年01月01日00:00,6.6
﻿鹤庆松桂,100.21,26.36,1933,2020年01月01日00:00,8.4
﻿西邑镇,100.17,26.25,2393,2020年01月01日00:00,7.8
﻿六合乡,100.33,26.4,1852,2020年01月01日00:00,7.3
﻿朵美乡,100.38,26.17,1256,2020年01月01日00:00,13.4
﻿云龙检槽,99.31,26.07,1965,2020年01月01日00:00,6.5
﻿云龙长新,99.44,26.08,1855,2020年01月01日00:00,7.7
﻿云龙苗尾,99.18,25.84,1320,2020年01月01日00:00,10.8
﻿宝丰乡,99.36,25.81,1610,2020年01月01日00:00,10.2
﻿诺邓天池,99.28,25.87,2610,2020年01月01日00:00,4.5
﻿云龙关坪,99.51,25.84,2100,2020年01月01日00:00,6
﻿民建乡,98.99,25.72,2240,2020年01月01日00:00,6.5
﻿云龙团结,99.58,25.75,2000,2020年01月01日00:00,6.8
﻿白石镇,99.43,26.19,2128,2020年01月01日00:00,6.1
﻿云龙功果,99.23,25.76,1332,2020年01月01日00:00,11.4
﻿漕涧镇,99.13,25.68,2152,2020年01月01日00:00,6.8
﻿洱源牛街,99.99,26.25,2119,2020年01月01日00:00,7.5
﻿三营镇,99.99,26.18,2094,2020年01月01日00:00,7.5
﻿洱源乔后,99.76,26.08,1830,2020年01月01日00:00,7.9
﻿茈碧湖镇,99.95,26.14,2070,2020年01月01日00:00,8.1
﻿洱源西山,99.67,25.97,2537,2020年01月01日00:00,6.1
﻿炼铁乡,99.8,25.99,2042,2020年01月01日00:00,8
﻿洱源凤羽,99.93,26,2172,2020年01月01日00:00,7.8
﻿右所镇,100.04,26.04,1981,2020年01月01日00:00,10.5
﻿邓川镇,100.06,26,1988,2020年01月01日00:00,8.7
﻿双廊镇,100.18,25.94,2108,2020年01月01日00:00,8.1
﻿上关,100.13,25.96,1976,2020年01月01日00:00,9.5
﻿喜洲,100.14,25.85,1975,2020年01月01日00:00,9.4
﻿挖色,100.28,25.83,2210,2020年01月01日00:00,7.6
﻿湾桥,100.11,25.79,2061,2020年01月01日00:00,9.5
﻿银桥,100.13,25.76,1993,2020年01月01日00:00,9.8
﻿大理,100.16,25.72,1995,2020年01月01日00:00,9.7
﻿海东,100.26,25.7,2012,2020年01月01日00:00,10.3
﻿大理凤仪,100.33,25.5,2028,2020年01月01日00:00,8
﻿下关,100.22,25.57,2116,2020年01月01日00:00,9.4
﻿大理太邑,100.11,25.51,1916,2020年01月01日00:00,10.3
﻿大理永兴,100.11,25.87,2037,2020年01月01日00:00,9.7
﻿银桥镇双阳,100.12,25.72,2180,2020年01月01日00:00,8.5
﻿大理镇阳和,100.16,25.67,2165,2020年01月01日00:00,8.4
﻿钟英乡,100.76,26.16,1436,2020年01月01日00:00,13.1
﻿平川镇,100.79,26.05,1732,2020年01月01日00:00,9.3
﻿力角镇,100.59,25.93,1467,2020年01月01日00:00,12.9
﻿宾川鸡足山,100.4,25.94,1821,2020年01月01日00:00,10.1
﻿拉乌乡,100.86,25.92,1978,2020年01月01日00:00,9.9
﻿大营镇,100.46,25.8,1687,2020年01月01日00:00,11.5
﻿金牛镇,100.61,25.9,1543,2020年01月01日00:00,13.7
﻿宾居镇 ,100.51,25.69,1539,2020年01月01日00:00,12.6
﻿州城镇,100.54,25.66,1571,2020年01月01日00:00,12.9
﻿乔甸镇,100.6,25.6,1662,2020年01月01日00:00,11.8
﻿排营烟站,100.38,25.74,1850,2020年01月01日00:00,11.6
﻿永平北斗,99.69,25.54,1895,2020年01月01日00:00,8
﻿博南镇,99.54,25.43,1695.6,2020年01月01日00:00,10.3
﻿龙门乡,99.51,25.52,1719.6,2020年01月01日00:00,8.8
﻿杉阳镇,99.39,25.32,1447.6,2020年01月01日00:00,11.8
﻿永平厂街,99.55,25.27,1895.8,2020年01月01日00:00,9.8
﻿永平龙街,99.78,25.34,1823.8,2020年01月01日00:00,8.9
﻿永平水泄,99.71,25.2,1689.3,2020年01月01日00:00,11.2
﻿富恒乡,99.66,25.66,2054,2020年01月01日00:00,7.7
﻿苍山西镇,99.99,25.65,1510,2020年01月01日00:00,10.3
﻿太平乡,99.87,25.61,2416,2020年01月01日00:00,6.4
﻿平坡镇,100.05,25.58,1480,2020年01月01日00:00,11.3
﻿漾濞顺濞,99.92,25.49,1420,2020年01月01日00:00,10.9
﻿瓦厂乡,99.97,25.44,1639,2020年01月01日00:00,10.9
﻿龙潭乡,99.87,25.38,2068,2020年01月01日00:00,9.4
﻿漾濞鸡街,99.94,25.26,1489,2020年01月01日00:00,11.7
﻿漾濞漾江,99.93,25.79,1647,2020年01月01日00:00,9.5
﻿紫金乡,100.03,25.43,1797,2020年01月01日00:00,10.5
﻿永建镇,100.21,25.43,1770,2020年01月01日00:00,9.7
﻿大仓镇,100.22,25.35,1906,2020年01月01日00:00,10.5
﻿马鞍山乡,100.14,25.34,1942,2020年01月01日00:00,8.1
﻿庙街镇,100.28,25.32,1780,2020年01月01日00:00,10.9
﻿巍宝山乡,100.32,25.18,1690,2020年01月01日00:00,9.8
﻿五印乡,100.13,25.15,1612.2,2020年01月01日00:00,9.7
﻿南诏镇,100.34,25.18,2184,2020年01月01日00:00,9.4
﻿牛街乡,100.09,25.03,2207.6,2020年01月01日00:00,7.8
﻿青华乡,100.23,25.04,2321.5,2020年01月01日00:00,7.4
﻿祥云米甸,100.75,25.67,1974,2020年01月01日00:00,8.7
﻿禾甸镇,100.73,25.57,1989,2020年01月01日00:00,10.5
﻿东山乡,100.89,25.59,1922,2020年01月01日00:00,8.6
﻿刘厂镇,100.75,25.48,1965,2020年01月01日00:00,10
﻿祥城镇,100.6,25.54,2012,2020年01月01日00:00,9.9
﻿沙龙镇,100.6,25.45,1969,2020年01月01日00:00,9.8
﻿祥云下庄,100.79,25.44,2070,2020年01月01日00:00,10.2
﻿普淜镇,100.9,25.33,2142,2020年01月01日00:00,9.4
﻿云南驿镇,100.69,25.39,1960,2020年01月01日00:00,9.8
﻿罗溪村,100.75,25.33,1697,2020年01月01日00:00,10.4
﻿红岩,100.42,25.35,1750,2020年01月01日00:00,11.3
﻿新街,100.46,25.38,1696,2020年01月01日00:00,10.1
﻿弥城镇,100.47,25.32,1749,2020年01月01日00:00,11.7
﻿弥渡寅街,100.53,25.27,1704,2020年01月01日00:00,11.3
﻿苴力,100.45,25.27,1540,2020年01月01日00:00,11
﻿密祉,100.51,25.18,2080,2020年01月01日00:00,10.2
﻿弥渡牛街,100.52,25.18,1918,2020年01月01日00:00,12.7
﻿弥渡大坝,100.44,25.47,1943,2020年01月01日00:00,9.3
﻿栗树营水库,100.5,25.23,1700,2020年01月01日00:00,10.8
﻿南涧镇,100.52,24.77,2150,2020年01月01日00:00,9.1
﻿乐秋乡,100.05,25,2227,2020年01月01日00:00,8.4
﻿宝华镇,100.5,24.92,1990,2020年01月01日00:00,9.5
﻿碧溪乡,100.3,24.92,2293,2020年01月01日00:00,9
﻿拥翠乡,100.07,24.15,2115,2020年01月01日00:00,10.2
﻿小湾东镇,100.03,24.13,2216,2020年01月01日00:00,9
﻿无量山镇,100.1,24.13,1794,2020年01月01日00:00,11.4
﻿南涧公郎,100.3,24.86,1508,2020年01月01日00:00,11
﻿诺邓,99.38,25.92,1920,2020年01月01日00:00,7.7
﻿民主,99.27,25.62,1510,2020年01月01日00:00,10.4
﻿勐旺村,98.56,24.28,1464,2020年01月01日00:00,11.7
﻿营盘,98.04,24.26,940,2020年01月01日00:00,14.1
﻿芒海,98.31,24.12,954,2020年01月01日00:00,14.3
﻿西山,98.21,24.3,1490,2020年01月01日00:00,13.7
﻿曼晃,97.88,24.29,949.8,2020年01月01日00:00,13
﻿野鸭塘,98.35,24.63,990,2020年01月01日00:00,12.6
﻿曩宋,98.37,24.88,1056,2020年01月01日00:00,13
﻿大厂,98.38,24.77,1791,2020年01月01日00:00,10.4
﻿黄家寨,98.32,24.22,2000,2020年01月01日00:00,14.7
﻿户拉,98.19,24.2,824,2020年01月01日00:00,14.7
﻿弄丘,98.3,24.19,1481,2020年01月01日00:00,12.8
﻿江东,98.39,24.52,2042,2020年01月01日00:00,9.8
﻿湾丹,98.22,24.39,1545,2020年01月01日00:00,13.7
﻿上东,98.4,24.85,1100,2020年01月01日00:00,12.2
﻿芒棒,98.4,24.42,899,2020年01月01日00:00,13.7
﻿勐旺,98.44,24.24,1674,2020年01月01日00:00,11.5
﻿姐告1,97.89,23.99,779,2020年01月01日00:00,15.3
﻿班岭口岸,97.63,24.01,860,2020年01月01日00:00,13.7
﻿姐相,97.75,23.92,763,2020年01月01日00:00,15
﻿帮湾,97.85,24.31,1015,2020年01月01日00:00,13.8
﻿邦东,98.17,24.46,1681.8,2020年01月01日00:00,12
﻿平山,97.77,24.38,1449,2020年01月01日00:00,10.1
﻿王子树,98.17,24.5,1571.8,2020年01月01日00:00,9.6
﻿拉线,97.8,24.26,913,2020年01月01日00:00,13.1
﻿赵家寨,98,24.55,1721.6,2020年01月01日00:00,10.8
﻿勐约,98.04,24.24,929,2020年01月01日00:00,14.3
﻿旧城,98.08,24.74,852,2020年01月01日00:00,15.1
﻿那邦,97.56,24.75,257,2020年01月01日00:00,17.1
﻿姐冒,97.82,24.55,806,2020年01月01日00:00,14.9
﻿盈江勐典,97.93,24.95,1692.9,2020年01月01日00:00,7.8
﻿洒水河,97.91,24.83,1243,2020年01月01日00:00,12.7
﻿昔马,97.69,24.73,1690,2020年01月01日00:00,8
﻿翁冷,98.19,24.64,1048,2020年01月01日00:00,12.6
﻿林厂,98.28,24.57,859,2020年01月01日00:00,13.8
﻿安乐,98.22,24.75,1660,2020年01月01日00:00,10.8
﻿锡矿,98.25,24.9,2540,2020年01月01日00:00,10.1
﻿勐竜,98.42,24.7,1470,2020年01月01日00:00,11.5
﻿梁子街,98.52,24.82,1920,2020年01月01日00:00,9.5
﻿俄罗村,97.71,23.9,741,2020年01月01日00:00,14.5
﻿畹町工委,98.05,24.08,835,2020年01月01日00:00,14.8
﻿弄岛村,97.65,23.87,735,2020年01月01日00:00,14.3
﻿普关,98.14,25.08,966.9,2020年01月01日00:00,11.9
﻿油松岭,98.15,24.71,2117.1,2020年01月01日00:00,8.9
﻿勐典河电站,97.77,24.99,1195.5,2020年01月01日00:00,11.3
﻿苏典,97.94,25.13,1645.3,2020年01月01日00:00,8.2
﻿璋西村,97.86,24.63,767,2020年01月01日00:00,13.9
﻿平河,98.66,24.27,2162,2020年01月01日00:00,6.7
﻿遮放农场,98.18,24.2,827,2020年01月01日00:00,14.6
﻿莫里农场,97.78,24,816,2020年01月01日00:00,14.7
﻿热作所二队,98.27,24.15,761,2020年01月01日00:00,14.5
﻿勐秀,97.73,24,1420,2020年01月01日00:00,12.5
﻿班岭农场,97.92,24.08,811,2020年01月01日00:00,13
﻿芒允七队,97.75,24.55,857,2020年01月01日00:00,14.2
﻿平原三队,97.97,24.72,834,2020年01月01日00:00,13.9
﻿一寨两国旅游气象站,97.8,23.96,751,2020年01月01日00:00,14.4
﻿景三七,100.68,21.93,800,2020年01月01日00:00,18.2
﻿巴洒,101.02,21.95,779,2020年01月01日00:00,19.5
﻿曼宛洼,100.67,21.73,647,2020年01月01日00:00,20.6
﻿勐养镇,100.91,22.09,774,2020年01月01日00:00,18.2
﻿普文镇,101.06,22.51,880,2020年01月01日00:00,16.5
﻿基诺,101,22.04,896,2020年01月01日00:00,17.1
﻿曼典,100.65,22.13,1122,2020年01月01日00:00,16.7
﻿嘎洒,100.77,21.97,555,2020年01月01日00:00,18.9
﻿勐罕镇,100.93,21.85,545,2020年01月01日00:00,20.5
﻿关坪,100.89,22.25,882,2020年01月01日00:00,15.6
﻿勐龙,100.68,21.58,619,2020年01月01日00:00,19.3
